case_number,question,expected_answer,actual_answer,faithfulness_score,faithfulness_success,faithfulness_reason,answer_relevancy_score,answer_relevancy_success,answer_relevancy_reason,correctness_score,correctness_success,correctness_reason,retrieval_context,evaluated_at
1,What does RAG stand for?,RAG stands for retrieval augmented generation.,RAG stands for Retrieval Augmented Generation.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,The score is 1.00 because the answer is fully relevant to the question and stays completely on topic—great job keeping it clear and focused.,1.0,True,"The response directly answers the input question about what RAG stands for and matches the expected output in meaning exactly. The only difference is capitalization in 'Retrieval Augmented Generation,' which does not change correctness, and there are no missing points or unsupported additions.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:27:33+00:00
2,What is retrieval augmented generation used for?,Retrieval augmented generation is used for answering questions with help from external documents.,Retrieval augmented generation (RAG) is used for answering questions with help from external documents by retrieving relevant passages from a knowledge base and using them as context for a language model to generate answers.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,"The score is 1.00 because the response directly answers what retrieval augmented generation is used for, with no irrelevant statements. Nice, focused answer.",1.0,True,"The response directly answers the input question about what retrieval augmented generation is used for and matches the expected meaning: answering questions with help from external documents. It also adds accurate supporting detail about retrieving relevant passages from a knowledge base as context for a language model, without contradicting or omitting the core expected claim.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:27:56+00:00
3,What does a RAG system retrieve first?,A RAG system first retrieves relevant passages from a knowledge base.,A RAG system first retrieves relevant passages from a knowledge base.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,"The score is 1.00 because the answer appears fully relevant to the question with no irrelevant statements, directly addressing what a RAG system retrieves first. Nice and on point.",1.0,True,"The response directly answers the input question about what a RAG system retrieves first and includes the key fact from the expected output: relevant passages from a knowledge base. It is complete, consistent with the input and expected meaning, and contains no unsupported or contradictory details.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:28:21+00:00
4,"After retrieving relevant passages, what does the system ask the language model to do?",It asks the language model to answer using the retrieved passages as context.,The system asks the language model to answer using the retrieved passages as context.,1.0,True,The score is 1.00 because there are no contradictions—the actual output appears fully consistent with the retrieval context. Nice job keeping it accurate and faithful.,0.5,False,"The score is 0.50 because the answer appears only partially relevant: it may relate to the retrieval step, but it includes a formatting fragment that does not actually explain what the system asks the language model to do after retrieving passages. Since it does not cleanly and directly answer that specific question, the score cannot be higher, but it still earns some credit for being somewhat on-topic.",1.0,True,"The actual output directly answers the input by stating that, after retrieving relevant passages, the system asks the language model to answer using those passages as context. This matches the expected output in meaning, includes the key detail about using retrieved passages as context, and contains no contradictions or omitted essential information.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:28:44+00:00
5,What project does the sample document belong to?,The sample document belongs to the AI RAG Testing Framework.,The sample document belongs to the AI RAG Testing Framework.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,"The score is 1.00 because the response directly addresses the question with no irrelevant information—clear, focused, and fully on topic.",1.0,True,"The actual output directly answers the input question about what project the sample document belongs to, and it matches the expected output exactly in meaning and wording. It includes the key project name, AI RAG Testing Framework, with no missing details, contradictions, or unsupported additions.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:29:12+00:00
6,Where are documents loaded from in this project?,Documents are loaded from the documents folder.,Documents are loaded from the documents folder.,1.0,True,The score is 1.00 because there are no contradictions—the actual output appears fully consistent with the retrieval context. Nice job keeping it accurate and aligned.,1.0,True,The score is 1.00 because the answer directly addresses where documents are loaded from in the project and includes no irrelevant information. Nice and fully on-topic.,1.0,True,"The main request asks where documents are loaded from in the project. The actual output directly answers this by stating they are loaded from the documents folder, which matches the expected output in meaning exactly. There are no missing details, contradictions, or unsupported claims.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:29:35+00:00
7,What happens to documents after they are loaded?,"Documents are split into chunks, stored in ChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer generation.","After documents are loaded, they are split into chunks, stored in ChromaDB, retrieved by semantic similarity, and then passed to OpenAI for answer generation.",1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",0.5,False,"The score is 0.50 because the answer is only partially relevant: it discusses retrieval at query time and answer generation after retrieval instead of focusing on what happens to documents immediately after they are loaded. Still, it likely stays somewhat on-topic within the broader document-processing workflow, which is why the score is not lower.",1.0,True,"The actual output directly answers what happens after documents are loaded and matches the expected sequence from the test case: splitting into chunks, storing in ChromaDB, retrieving by semantic similarity, and passing to OpenAI for answer generation. It is complete, uses equivalent wording, and adds no unsupported or contradictory information.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:29:59+00:00
8,How are chunks retrieved from ChromaDB?,Chunks are retrieved by semantic similarity.,Chunks are retrieved from ChromaDB by semantic similarity after being split from documents stored in the database.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,"The score is 1.00 because the answer appears fully relevant to the question about how chunks are retrieved from ChromaDB, with no irrelevant statements noted. Nice, focused response.",1.0,True,The response directly answers the input question about retrieval from ChromaDB and matches the expected meaning that chunks are retrieved by semantic similarity. The extra detail about chunks being split from stored documents is not contradictory and does not change the core answer.,"[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:30:22+00:00
9,Why does evaluation help in the RAG framework?,Evaluation helps verify that the generated answer is useful and grounded in the retrieved context.,Evaluation helps in the RAG framework by verifying that the generated answer is useful and grounded in the retrieved context. It includes faithfulness checks to ensure the answer is supported by the context and answer relevancy checks to confirm that the answer directly addresses the user question.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,The score is 1.00 because the answer stayed fully focused on why evaluation helps in the RAG framework and did not include any irrelevant statements. It directly addressed the input clearly and completely.,0.9999999999999998,True,"The response directly answers why evaluation helps in the RAG framework and matches the expected meaning: it says evaluation verifies the generated answer is useful and grounded in retrieved context. It also adds relevant details about faithfulness and answer relevancy checks, which are consistent with the input and do not contradict or distort the expected output.","[""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question."", ""swer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:30:45+00:00
10,What does faithfulness check?,Faithfulness checks whether the answer is supported by the context.,Faithfulness checks whether the answer is supported by the context.,1.0,True,"The score is 1.00 because there are no contradictions, so the actual output appears fully consistent with the retrieval context—great job.",1.0,True,The score is 1.00 because the response directly answers what faithfulness checks and includes no irrelevant information. Nice and fully on-topic.,1.0,True,"The actual output directly answers the input question about what faithfulness checks and exactly matches the expected meaning: it says faithfulness verifies whether the answer is supported by the context. It includes the key required point and has no contradictions, omissions, or unsupported additions.","[""swer relevancy checks whether the answer directly addresses the\nuser question."", ""Retrieval augmented generation, often called RAG, is a pattern for answering\nquestions with help from external documents. A RAG system first retrieves\nrelevant passages from a knowledge base and then asks a language model to\nanswer using those passages as context.\n\nThis sample document belongs to the AI RAG Testing Framework. It explains that\ndocuments are loaded from the documents folder, split into chunks, stored in\nChromaDB, retrieved by semantic similarity, and passed to OpenAI for answer\ngeneration.\n\nEvaluation helps verify that the generated answer is useful and grounded in\nthe retrieved context. Faithfulness checks whether the answer is supported by\nthe context. Answer relevancy checks whether the answer directly addresses the\nuser question.""]",2026-07-08T16:31:07+00:00
